"tax_id","parent_id","rank","tax_name","root","cellular_root","domain","superphylum","phylum","subphylum","class","subclass","order","below_order","below_below_order","suborder","family","below_family","genus","subgenus","species_group","species","below_species","below_below_species","subspecies","below_subspecies"
"543310","538999","family","Clostridiales Family XI. Incertae Sedis","1","131567","2","","1239","","186801","","186802","538999","","","543310","","","","","","","","",""
"543314","538999","family","Clostridiales Family XIII. Incertae Sedis","1","131567","2","","1239","","186801","","186802","538999","","","543314","","","","","","","","",""
"84107","255727","family","Coriobacteriaceae","1","131567","2","","201174","","1760","84998","84999","","","255727","84107","","","","","","","","",""
"1653","85007","family","Corynebacteriaceae","1","131567","2","","201174","","1760","85003","2037","","","85007","1653","","","","","","","","",""
"81852","186826","family","Enterococcaceae","1","131567","2","","1239","","91061","","186826","","","","81852","","","","","","","","",""
"128827","526525","family","Erysipelotrichaceae","1","131567","2","","1239","","526524","","526525","","","","128827","","","","","","","","",""
"186806","186802","family","Eubacteriaceae","1","131567","2","","1239","","186801","","186802","","","","186806","","","","","","","","",""
"49546","200644","family","Flavobacteriaceae","1","131567","2","68336","976","","117743","","200644","","","","49546","","","","","","","","",""
"203492","203491","family","Fusobacteriaceae","1","131567","2","","32066","","203490","","203491","","","","203492","","","","","","","","",""
"186803","186802","family","Lachnospiraceae","1","131567","2","","1239","","186801","","186802","","","","186803","","","","","","","","",""
"1268","85006","family","Micrococcaceae","1","131567","2","","201174","","1760","85003","2037","","","85006","1268","","","","","","","","",""
"468","72274","family","Moraxellaceae","1","131567","2","","1224","","1236","","72274","","","","468","","","","","","","","",""
"2092","2085","family","Mycoplasmataceae","1","131567","2","","544448","","31969","","2085","","","","2092","","","","","","","","",""
"481","206351","family","Neisseriaceae","1","131567","2","","1224","","28216","","206351","","","","481","","","","","","","","",""
"712","135625","family","Pasteurellaceae","1","131567","2","","1224","","1236","","135625","","","","712","","","","","","","","",""
"186804","186802","family","Peptostreptococcaceae","1","131567","2","","1239","","186801","","186802","","","","186804","","","","","","","","",""
"69277","356","family","Phyllobacteriaceae","1","131567","2","","1224","","28211","","356","","","","69277","","","","","","","","",""
"171551","171549","family","Porphyromonadaceae","1","131567","2","68336","976","","200643","","171549","","","","171551","","","","","","","","",""
"171552","171549","family","Prevotellaceae","1","131567","2","68336","976","","200643","","171549","","","","171552","","","","","","","","",""
"31957","85009","family","Propionibacteriaceae","1","131567","2","","201174","","1760","85003","2037","","","85009","31957","","","","","","","","",""
"41297","204457","family","Sphingomonadaceae","1","131567","2","","1224","","28211","","204457","","","","41297","","","","","","","","",""
"137","136","family","Spirochaetaceae","1","131567","2","","203691","","203692","","136","","","","137","","","","","","","","",""
"1300","186826","family","Streptococcaceae","1","131567","2","","1239","","91061","","186826","","","","1300","","","","","","","","",""
"31977","909929","family","Veillonellaceae","1","131567","2","","1239","","909932","","909929","","","","31977","","","","","","","","",""
"543311","543310","below_family","Parvimonas","1","131567","2","","1239","","186801","","186802","538999","","","543310","543311","","","","","","","",""
"67757","712","below_family","unclassified Pasteurellaceae","1","131567","2","","1224","","1236","","135625","","","","712","67757","","","","","","","",""
"46123","186827","genus","Abiotrophia","1","131567","2","","1239","","91061","","186826","","","","186827","","46123","","","","","","",""
"119977","225058","genus","Acidithiobacillus","1","131567","2","","1224","","1236","","225057","","","","225058","","119977","","","","","","",""
"713","712","genus","Actinobacillus","1","131567","2","","1224","","1236","","135625","","","","712","","713","","","","","","",""
"1654","2049","genus","Actinomyces","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","","","","",""
"416916","712","genus","Aggregatibacter","1","131567","2","","1224","","1236","","135625","","","","712","","416916","","","","","","",""
"1380","84107","genus","Atopobium","1","131567","2","","201174","","1760","84998","84999","","","255727","84107","","1380","","","","","","",""
"194","72294","genus","Campylobacter","1","131567","2","","1224","68525","29547","","213849","","","","72294","","194","","","","","","",""
"1016","49546","genus","Capnocytophaga","1","131567","2","68336","976","","117743","","200644","","","","49546","","1016","","","","","","",""
"43996","186803","genus","Catonella","1","131567","2","","1239","","186801","","186802","","","","186803","","43996","","","","","","",""
"82202","31977","genus","Centipeda","1","131567","2","","1239","","909932","","909929","","","","31977","","82202","","","","","","",""
"1716","1653","genus","Corynebacterium","1","131567","2","","201174","","1760","85003","2037","","","85007","1653","","1716","","","","","","",""
"39948","31977","genus","Dialister","1","131567","2","","1239","","909932","","909929","","","","31977","","39948","","","","","","",""
"1730","186806","genus","Eubacterium","1","131567","2","","1239","","186801","","186802","","","","186806","","1730","","","","","","",""
"44259","186804","genus","Filifactor","1","131567","2","","1239","","186801","","186802","","","","186804","","44259","","","","","","",""
"848","203492","genus","Fusobacterium","1","131567","2","","32066","","203490","","203491","","","","203492","","848","","","","","","",""
"155493","712","genus","Gallibacterium","1","131567","2","","1224","","1236","","135625","","","","712","","155493","","","","","","",""
"1378","539738","genus","Gemella","1","131567","2","","1239","","91061","","1385","539002","539738","","","","1378","","","","","","",""
"117563","186828","genus","Granulicatella","1","131567","2","","1239","","91061","","186826","","","","186828","","117563","","","","","","",""
"724","712","genus","Haemophilus","1","131567","2","","1224","","1236","","135625","","","","712","","724","","","","","","",""
"32257","481","genus","Kingella","1","131567","2","","1224","","28216","","206351","","","","481","","32257","","","","","","",""
"32067","203492","genus","Leptotrichia","1","131567","2","","32066","","203490","","203491","","","","203492","","32067","","","","","","",""
"75984","712","genus","Mannheimia","1","131567","2","","1224","","1236","","135625","","","","712","","75984","","","","","","",""
"906","31977","genus","Megasphaera","1","131567","2","","1239","","909932","","909929","","","","31977","","906","","","","","","",""
"86331","543314","genus","Mogibacterium","1","131567","2","","1239","","186801","","186802","538999","","","543314","","86331","","","","","","",""
"475","468","genus","Moraxella","1","131567","2","","1224","","1236","","72274","","","","468","","475","","","","","","",""
"2093","2092","genus","Mycoplasma","1","131567","2","","544448","","31969","","2085","","","","2092","","2093","","","","","","",""
"482","481","genus","Neisseria","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","","","","",""
"948104","1300","genus","Okadaella","1","131567","2","","1239","","91061","","186826","","","","1300","","948104","","","","","","",""
"265975","186803","genus","Oribacterium","1","131567","2","","1239","","186801","","186802","","","","186803","","265975","","","","","","",""
"1257","186804","genus","Peptostreptococcus","1","131567","2","","1239","","186801","","186802","","","","186804","","1257","","","","","","",""
"28100","69277","genus","Phyllobacterium","1","131567","2","","1224","","28211","","356","","","","69277","","28100","","","","","","",""
"836","171551","genus","Porphyromonas","1","131567","2","68336","976","","200643","","171549","","","","171551","","836","","","","","","",""
"838","171552","genus","Prevotella","1","131567","2","68336","976","","200643","","171549","","","","171552","","838","","","","","","",""
"1743","31957","genus","Propionibacterium","1","131567","2","","201174","","1760","85003","2037","","","85009","31957","","1743","","","","","","",""
"32207","1268","genus","Rothia","1","131567","2","","201174","","1760","85003","2037","","","85006","1268","","32207","","","","","","",""
"970","31977","genus","Selenomonas","1","131567","2","","1239","","909932","","909929","","","","31977","","970","","","","","","",""
"177971","186803","genus","Shuttleworthia","1","131567","2","","1239","","186801","","186802","","","","186803","","177971","","","","","","",""
"123375","128827","genus","Solobacterium","1","131567","2","","1239","","526524","","526525","","","","128827","","123375","","","","","","",""
"13687","41297","genus","Sphingomonas","1","131567","2","","1224","","28211","","204457","","","","41297","","13687","","","","","","",""
"1301","1300","genus","Streptococcus","1","131567","2","","1239","","91061","","186826","","","","1300","","1301","","","","","","",""
"195950","171551","genus","Tannerella","1","131567","2","68336","976","","200643","","171549","","","","171551","","195950","","","","","","",""
"217201","712","genus","Terrahaemophilus","1","131567","2","","1224","","1236","","135625","","","","712","","217201","","","","","","",""
"157","137","genus","Treponema","1","131567","2","","203691","","203692","","136","","","","137","","157","","","","","","",""
"2737","81852","genus","Vagococcus","1","131567","2","","1239","","91061","","186826","","","","81852","","2737","","","","","","",""
"29465","31977","genus","Veillonella","1","131567","2","","1239","","909932","","909929","","","","31977","","29465","","","","","","",""
"46225","475","subgenus","Moraxella","1","131567","2","","1224","","1236","","72274","","","","468","","475","46225","","","","","",""
"28154","712","species_group","Bisgaard taxa","1","131567","2","","1224","","1236","","135625","","","","712","","","","28154","","","","",""
"671232","1301","species_group","Streptococcus anginosus group","1","131567","2","","1239","","91061","","186826","","","","1300","","1301","","671232","","","","",""
"310966","67757","species_group","[Pasteurella] aerogenes-[Pasteurella] mairii-[Actinobacillus] rossii complex","1","131567","2","","1224","","1236","","135625","","","","712","67757","","","310966","","","","",""
"46125","46123","species","Abiotrophia defectiva","1","131567","2","","1239","","91061","","186826","","","","186827","","46123","","","46125","","","",""
"191553","46123","species","Abiotrophia para-adiacens","1","131567","2","","1239","","91061","","186826","","","","186827","","46123","","","191553","","","",""
"930","119977","species","Acidithiobacillus thiooxidans","1","131567","2","","1224","","1236","","225057","","","","225058","","119977","","","930","","","",""
"123814","67757","species","Actinobacillus pleuropneumoniae MCCM 00189","1","131567","2","","1224","","1236","","135625","","","","712","67757","","","","123814","","","",""
"51048","713","species","Actinobacillus porcinus","1","131567","2","","1224","","1236","","135625","","","","712","","713","","","51048","","","",""
"123820","310966","species","Actinobacillus rossii","1","131567","2","","1224","","1236","","135625","","","","712","67757","","","310966","123820","","","",""
"52768","1654","species","Actinomyces georgiae","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","52768","","","",""
"52769","1654","species","Actinomyces gerencseriae","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","52769","","","",""
"55565","1654","species","Actinomyces graevenitzii","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","55565","","","",""
"1659","1654","species","Actinomyces israelii","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","1659","","","",""
"544581","1654","species","Actinomyces johnsonii","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","544581","","","",""
"114702","1654","species","Actinomyces lingnae","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","114702","","","",""
"461393","1654","species","Actinomyces massiliensis","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","461393","","","",""
"52773","1654","species","Actinomyces meyeri","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","52773","","","",""
"1655","1654","species","Actinomyces naeslundii","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","1655","","","",""
"1660","1654","species","Actinomyces odontolyticus","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","1660","","","",""
"544580","1654","species","Actinomyces oris","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","544580","","","",""
"1656","1654","species","Actinomyces viscosus","1","131567","2","","201174","","1760","85003","2037","","","85005","2049","","1654","","","1656","","","",""
"732","416916","species","Aggregatibacter aphrophilus","1","131567","2","","1224","","1236","","135625","","","","712","","416916","","","732","","","",""
"739","416916","species","Aggregatibacter segnis","1","131567","2","","1224","","1236","","135625","","","","712","","416916","","","739","","","",""
"1382","1380","species","Atopobium parvulum","1","131567","2","","201174","","1760","84998","84999","","","255727","84107","","1380","","","1382","","","",""
"28161","28154","species","Bisgaard Taxon 7","1","131567","2","","1224","","1236","","135625","","","","712","","","","28154","28161","","","",""
"199","194","species","Campylobacter concisus","1","131567","2","","1224","68525","29547","","213849","","","","72294","","194","","","199","","","",""
"202","194","species","Campylobacter mucosalis","1","131567","2","","1224","68525","29547","","213849","","","","72294","","194","","","202","","","",""
"203","194","species","Campylobacter rectus","1","131567","2","","1224","68525","29547","","213849","","","","72294","","194","","","203","","","",""
"204","194","species","Campylobacter showae","1","131567","2","","1224","68525","29547","","213849","","","","72294","","194","","","204","","","",""
"340486","838","species","Candidatus Prevotella conceptionensis","1","131567","2","68336","976","","200643","","171549","","","","171552","","838","","","340486","","","",""
"1017","1016","species","Capnocytophaga gingivalis","1","131567","2","68336","976","","117743","","200644","","","","49546","","1016","","","1017","","","",""
"45242","1016","species","Capnocytophaga granulosa","1","131567","2","68336","976","","117743","","200644","","","","49546","","1016","","","45242","","","",""
"45243","1016","species","Capnocytophaga haemolytica","1","131567","2","68336","976","","117743","","200644","","","","49546","","1016","","","45243","","","",""
"327575","1016","species","Capnocytophaga leadbetteri","1","131567","2","68336","976","","117743","","200644","","","","49546","","1016","","","327575","","","",""
"1018","1016","species","Capnocytophaga ochracea","1","131567","2","68336","976","","117743","","200644","","","","49546","","1016","","","1018","","","",""
"1019","1016","species","Capnocytophaga sputigena","1","131567","2","68336","976","","117743","","200644","","","","49546","","1016","","","1019","","","",""
"43997","43996","species","Catonella morbi","1","131567","2","","1239","","186801","","186802","","","","186803","","43996","","","43997","","","",""
"82203","82202","species","Centipeda periodontii","1","131567","2","","1239","","909932","","909929","","","","31977","","82202","","","82203","","","",""
"61592","1716","species","Corynebacterium durum","1","131567","2","","201174","","1760","85003","2037","","","85007","1653","","1716","","","61592","","","",""
"43768","1716","species","Corynebacterium matruchotii","1","131567","2","","201174","","1760","85003","2037","","","85007","1653","","1716","","","43768","","","",""
"218538","39948","species","Dialister invisus","1","131567","2","","1239","","909932","","909929","","","","31977","","39948","","","218538","","","",""
"39950","39948","species","Dialister pneumosintes","1","131567","2","","1239","","909932","","909929","","","","31977","","39948","","","39950","","","",""
"56774","1730","species","Eubacterium infirmum","1","131567","2","","1239","","186801","","186802","","","","186806","","1730","","","56774","","","",""
"35518","1730","species","Eubacterium nodatum","1","131567","2","","1239","","186801","","186802","","","","186806","","1730","","","35518","","","",""
"467210","1730","species","Eubacterium saburreum","1","131567","2","","1239","","186801","","186802","","","","186806","","1730","","","467210","","","",""
"143393","1730","species","Eubacterium sulci","1","131567","2","","1239","","186801","","186802","","","","186806","","1730","","","143393","","","",""
"39498","1730","species","Eubacterium yurii","1","131567","2","","1239","","186801","","186802","","","","186806","","1730","","","39498","","","",""
"143361","44259","species","Filifactor alocis","1","131567","2","","1239","","186801","","186802","","","","186804","","44259","","","143361","","","",""
"285729","848","species","Fusobacterium canifelinum","1","131567","2","","32066","","203490","","203491","","","","203492","","848","","","285729","","","",""
"77917","848","species","Fusobacterium naviforme","1","131567","2","","32066","","203490","","203491","","","","203492","","848","","","77917","","","",""
"851","848","species","Fusobacterium nucleatum","1","131567","2","","32066","","203490","","203491","","","","203492","","848","","","851","","","",""
"860","848","species","Fusobacterium periodonticum","1","131567","2","","32066","","203490","","203491","","","","203492","","848","","","860","","","",""
"855","848","species","Fusobacterium simiae","1","131567","2","","32066","","203490","","203491","","","","203492","","848","","","855","","","",""
"505341","155493","species","Gallibacterium salpingitidis","1","131567","2","","1224","","1236","","135625","","","","712","","155493","","","505341","","","",""
"1379","1378","species","Gemella haemolysans","1","131567","2","","1239","","91061","","1385","539002","539738","","","","1378","","","1379","","","",""
"29391","1378","species","Gemella morbillorum","1","131567","2","","1239","","91061","","1385","539002","539738","","","","1378","","","29391","","","",""
"84135","1378","species","Gemella sanguinis","1","131567","2","","1239","","91061","","1385","539002","539738","","","","1378","","","84135","","","",""
"46124","117563","species","Granulicatella adiacens","1","131567","2","","1239","","91061","","186826","","","","186828","","117563","","","46124","","","",""
"137732","117563","species","Granulicatella elegans","1","131567","2","","1239","","91061","","186826","","","","186828","","117563","","","137732","","","",""
"321195","117563","species","Granulicatella para-adiacens","1","131567","2","","1239","","91061","","186826","","","","186828","","117563","","","321195","","","",""
"726","724","species","Haemophilus haemolyticus","1","131567","2","","1224","","1236","","135625","","","","712","","724","","","726","","","",""
"727","724","species","Haemophilus influenzae","1","131567","2","","1224","","1236","","135625","","","","712","","724","","","727","","","",""
"735","724","species","Haemophilus parahaemolyticus","1","131567","2","","1224","","1236","","135625","","","","712","","724","","","735","","","",""
"729","724","species","Haemophilus parainfluenzae","1","131567","2","","1224","","1236","","135625","","","","712","","724","","","729","","","",""
"249188","724","species","Haemophilus pittmaniae","1","131567","2","","1224","","1236","","135625","","","","712","","724","","","249188","","","",""
"265175","32257","species","Kingella potus","1","131567","2","","1224","","28216","","206351","","","","481","","32257","","","265175","","","",""
"40542","32067","species","Leptotrichia buccalis","1","131567","2","","32066","","203490","","203491","","","","203492","","32067","","","40542","","","",""
"157692","32067","species","Leptotrichia goodfellowii","1","131567","2","","32066","","203490","","203491","","","","203492","","32067","","","157692","","","",""
"157688","32067","species","Leptotrichia hofstadii","1","131567","2","","32066","","203490","","203491","","","","203492","","32067","","","157688","","","",""
"157691","32067","species","Leptotrichia shahii","1","131567","2","","32066","","203490","","203491","","","","203492","","32067","","","157691","","","",""
"157687","32067","species","Leptotrichia wadei","1","131567","2","","32066","","203490","","203491","","","","203492","","32067","","","157687","","","",""
"85402","75984","species","Mannheimia granulomatis","1","131567","2","","1224","","1236","","135625","","","","712","","75984","","","85402","","","",""
"187326","906","species","Megasphaera micronuciformis","1","131567","2","","1239","","909932","","909929","","","","31977","","906","","","187326","","","",""
"114528","86331","species","Mogibacterium neglectum","1","131567","2","","1239","","186801","","186802","538999","","","543314","","86331","","","114528","","","",""
"86332","86331","species","Mogibacterium pumilum","1","131567","2","","1239","","186801","","186802","538999","","","543314","","86331","","","86332","","","",""
"86333","86331","species","Mogibacterium vescum","1","131567","2","","1239","","186801","","186802","538999","","","543314","","86331","","","86333","","","",""
"476","46225","species","Moraxella bovis","1","131567","2","","1224","","1236","","72274","","","","468","","475","46225","","476","","","",""
"386891","46225","species","Moraxella bovoculi","1","131567","2","","1224","","1236","","72274","","","","468","","475","46225","","386891","","","",""
"90240","46225","species","Moraxella caprae","1","131567","2","","1224","","1236","","72274","","","","468","","475","46225","","90240","","","",""
"60442","46225","species","Moraxella equi","1","131567","2","","1224","","1236","","72274","","","","468","","475","46225","","60442","","","",""
"477","46225","species","Moraxella lacunata","1","131567","2","","1224","","1236","","72274","","","","468","","475","46225","","477","","","",""
"92403","2093","species","Mycoplasma falconis","1","131567","2","","544448","","31969","","2085","","","","2092","","2093","","","92403","","","",""
"56142","2093","species","Mycoplasma faucium","1","131567","2","","544448","","31969","","2085","","","","2092","","2093","","","56142","","","",""
"29559","2093","species","Mycoplasma hyosynoviae","1","131567","2","","544448","","31969","","2085","","","","2092","","2093","","","29559","","","",""
"2124","2093","species","Mycoplasma salivarium","1","131567","2","","544448","","31969","","2085","","","","2092","","2093","","","2124","","","",""
"492","482","species","Neisseria animalis","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","492","","","",""
"483","482","species","Neisseria cinerea","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","483","","","",""
"495","482","species","Neisseria elongata","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","495","","","",""
"34026","482","species","Neisseria flava","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","34026","","","",""
"484","482","species","Neisseria flavescens","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","484","","","",""
"486","482","species","Neisseria lactamica","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","486","","","",""
"487","482","species","Neisseria meningitidis","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","487","","","",""
"488","482","species","Neisseria mucosa","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","488","","","",""
"33053","482","species","Neisseria perflava","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","33053","","","",""
"29434","482","species","Neisseria pharyngis","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","29434","","","",""
"607712","482","species","Neisseria shayeganii","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","607712","","","",""
"490","482","species","Neisseria sicca","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","490","","","",""
"28449","482","species","Neisseria subflava","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","28449","","","",""
"28091","482","species","Neisseria weaveri","1","131567","2","","1224","","28216","","206351","","","","481","","482","","","28091","","","",""
"948105","948104","species","Okadaella gastrococcus","1","131567","2","","1239","","91061","","186826","","","","1300","","948104","","","948105","","","",""
"237576","265975","species","Oribacterium sinus","1","131567","2","","1239","","186801","","186802","","","","186803","","265975","","","237576","","","",""
"33033","543311","species","Parvimonas micra","1","131567","2","","1239","","186801","","186802","538999","","","543310","543311","","","","33033","","","",""
"123821","67757","species","Pasteurella aerogenes MCCM 01551","1","131567","2","","1224","","1236","","135625","","","","712","67757","","","","123821","","","",""
"341694","1257","species","Peptostreptococcus stomatis","1","131567","2","","1239","","186801","","186802","","","","186804","","1257","","","341694","","","",""
"314236","28100","species","Phyllobacterium bourgognense","1","131567","2","","1224","","28211","","356","","","","69277","","28100","","","314236","","","",""
"314235","28100","species","Phyllobacterium brassicacearum","1","131567","2","","1224","","28211","","356","","","","69277","","28100","","","314235","","","",""
"28101","28100","species","Phyllobacterium myrsinacearum","1","131567","2","","1224","","28211","","356","","","","69277","","28100","","","28101","","","",""
"300193","28100","species","Phyllobacterium trifolii","1","131567","2","","1224","","28211","","356","","","","69277","","28100","","","300193","","","",""
"41976","836","species","Porphyromonas catoniae","1","131567","2","68336","976","","200643","","171549","","","","171551","","836","","","41976","","","",""
"28124","836","species","Porphyromonas endodontalis","1","131567","2","68336","976","","200643","","171549","","","","171551","","836","","","28124","","","",""
"837","836","species","Porphyromonas gingivalis","1","131567","2","68336","976","","200643","","171549","","","","171551","","836","","","837","","","",""
"596085","838","species","Prevotella aurantiaca","1","131567","2","68336","976","","200643","","171549","","","","171552","","838","","","596085","","","",""
"305719","838","species","Prevotella baroniae","1","131567","2","68336","976","","200643","","171549","","","","171552","","838","","","305719","","","",""
"28126","838","species","Prevotella buccae","1","131567","2","68336","976","","200643","","171549","","","","171552","","838","","","28126","","","",""
